comment,labels
"Большая часть людей имеющих опыт не понимают что это
",0
"У меня вообще сомнения что этими крутилками что то сломать можно , недавно морковку в мясорубке еле прокрутил ,а тут наверно и давление то не создать такими
",0
"металлсервис попробуйте, контора большая но работают неплохо.
",0
"Ну да, а если не рядом с районом, а в самом районе, где гаражи рядом с детской площадкой. Ага, выходят два таких догхантера из машины и пальбу начинают. А собаки то конечно смирно стоят и ждут, когда охотник прицелится и им в голову выстрелит. Да они съебуться в мгновении ока, они такую хуйню за километр чуют, а выстрел может людей задеть. Есть способы и по безопасней.
",0
"Это предположение, констатация факта или скрытый намёк? ;)",0
"Обычный самолёт - это обязательный аэродром, обязательное (внезапно) нахождение в воздухе, где его можно обнаружить радарами, неизменный радиус действия, связанный с количеством топлива на борту. Все эти риски уже давно просчитаны - возможные аэродромы, откуда может взлететь противник, включая те же авианосцы, отслеживаются, ПВО бдит. А тут появляется аппарат, которому не надо обязательно висеть в воздухе, тратя топливо, который ввиду малой высоты полёта не определяется радарами, и может внезапно появиться, выпустить всего лишь пару десятков тонн боеприпасов в сторону авианосца и безнаказанно уйти. Действительно, никому не нужная вещь.)
",0
"Ничего, бывает. А в догонку к своему прошлому посту добавлю, что превосходство на рынке одной компании даже выгодно потребителю, так как если главный производитель после получения значительной доли рынка завысит цену, то тут же набигут мелкие предприниматели с более выгодным соотношением цены и качества. Важно понимать, что доминирующая позиция на рынке приобретается именно значительным повышением этого соотношения, так что само возникновение монополиста улучшает качество услуги.
",0
"Клуб Кокалерос Колумбии
",1
"Именно так наши вечера с детьми и соседским ремонтом и проходят:с
",0
"Это просто новый вид троллинга - троллинг тупостью. Умный оппонент приходит в ярость и бешенство, и это при том, что он прав и подебил. Да-да, победить этот вид троллинга нельзя, можно только прекратить беседу, когда ее уровень пробил днище.
",1
"Не забывайте, что йота, по сути, это мегафон в другой обертке. И подобные случаи рано или поздно должны были начаться...что, конечно грустно, сам на йоте. Но хорошо, что еще успел безлимит зацепить. Хотя, может и с ним придумают какую-нибудь дурь.
",0
"В чём порча? Победа сама по себе нафиг никому не нужна сейчас. И не факт, что подвеска от этого кузова была на ходу (или Вы более информированы?). Так получилось что-то нескучное, вроде памятника. У меня во дворе волга 21-я догнивает, долбимся об местную власть, чтобы вывезли хлам. Не нужна, случаем?
",0
"как дошел до такого? ладно еще несколько роликов с его канала посмотреть, батл с ховой, но на стендап ходить зачем? неужели настолько заинтересовало?
",0
"Даже хохлы в гейропу не хотят, бабосы не те?
",1
"Приведите эти исследования, пожалуйста. И помните, что Реклама не считается исследованием. И тем не менее, гигантская агрессивная маркетинговая компания свернулась, несмотря на прибыль, когда именно исследования показали вред курения. И ни огромные прибыли табачных корпораций, ни их влияние, не остановили антитабачные исследования и борьбу с курением. Потому что это не так работает. Если бы все было куплено, у нас по-прежнему считалось бы курение полезным, Вы так не думаете?
",0
"Ну раз отозвали, то он уже ни платно, ни бесплатно не переделает. Это же работа. Тем более исправление чужих косяков. С чего бы такую работу бесплатно делать. Вопрос только в самой цене, вы можете попросить скидку, думаю не откажут.
",0
"То есть обсуждать пушки низзя, но и обсуждать то, как избежать попадания в места, где тебя учат из пушек убивать людей-тоже низзя? Вот такие вот у буржуазии стандарты. Говорить про оружие пролам запрещено, но дохнуть за интересы своих олигархов они обязаны.
",1
"представились? спасибо, рады вас видеть, а теперь пиздуйте обратно под шконку.
",1
"А что такое в правилах написано по этому поводу?
",0
"Сукаамразь, я белый человек свободной страны, хочу носить пистолет - ношу, хочу пристрелить мента ебаного - стреляю, до суда я невиновен, слышите, НЕВИНОВЕН. Пусть потом на суде доказывают, что я не имел право пристрелить эту свинью в форме. По закону они не имеют права стрелять в ответ, понятно?
",1
"А если на конкретных людей в суд подавать,а не на фирму?
",0
"Иншалла. Даеш шариат в пидорахии!
",1
"подскажите как подбирать драйвера для светодиодов? Хочется углубиться в эту тему, а вот с драйверами непонятно.
",0
"По 50 руб за штуку устроит? Есть вагон и маленькая тележка
",0
"Эти наборы совсем не копеечные. В розничных магазинах цена за 1200 уходит
",0
"А как разделить одно нарушение от двух разных ? Если я еду по трассе 120 при разрешенных 60, протяженность трассы 500 км. Сколько раз меня можно оштрафовать? Начинается ли новое нарушение с каждого нового светофора? А с правами? Начинается ли новое нарушение с момента предыдущей остановки сотрудниками ДПС?
",0
"Страна с высоким человеческим капиталом может построить годную страну, а может построить говно. Страна с низким человеческим капиталом построит только говно. Вот и вся связь. С чего вдруг решили, что страна с высоким человеческим капиталом должна построить годноту не ясно.
",0
"это холодильники электричество очень много жрут. Был у нас один . Стали платить меньше когда заменили на новый .
",0
"Ну, хомяки у него ядерно токсичные, хотя до сосача они, мб, и не добрались, на сосаче самая благодатная тема это все же праваки и какое-нибудь быдло по типу хача.",1
"Слишком умно для этой параши.
",1
"Классический ватный дегенерат, то что всё, что импортируется, покупается за доллары и евро он не понимает.
",1
"Ну таки в нормальном детсаде могут и 40 тыр в мес платить на руки. Плюс стаж и опыт - потом можно в частную школу и репетитором, по Москве это от 100 тыр в мес (сестра до 200 тыр в мес на репетиторстве имеет около 100 тыр в мес школа платит) Плюс может хочет сеять разумное, доброе, вечное.
",0
"Лазурник, ты? Я узнал тебя по твоим шизоидным постам. Помнишь, как ты пытался что то выдавить из себя в Джапари библиотеке, а мы с ассистентом нассали в твоё карри? Ты ещё съел, облизнулся и попросил добавки. А потом сказал, что всю жизнь будешь ненавидеть друзей, но когда ты пошёл на них в рейд, чтобы их съесть, то они пустили тебя по кругу, после чего тебе наложили на анус восемь швов. Как поживаешь, Лазурник?
",1
"Поле минное, обезьяна с гранатой. Могу впасть в истерику по пустяку, оставаться спокойной при пиздеце. Временами яйецерезка, но по делу. Мужика под каблук не загоняю. Не скажу что ласковая или нежная. Эгоистичная, но об этом сразу предупреждаю.
",1
"Заметил логическую нестыковку! 4:30 утра - Зенит не может играть.
",0
"И за что минус влепили то? Жена в январе сделала ИП через альфу. Доки они все подготовили сами, надо было только их в налоговую отвезти и потом забрать доки на ИП
",0
"Не, ну он не мог сначала в село перебраться, а потом оформлять всё, не успел бы. А что там дальше - за кадром осталось.
",0
"380 может не хватить чтоб образовалась дуга между витками. Если они до этого не сплавились конечно-же.
",0
"Потом уже я покатился по наклонной , были Nokia N800 и корпоративный Siemens Pocket Loox.
",0
"Это не у нас, это везде так будет. Человеческая природа в этом плане универсальна и от места не зависит. А то, что чем дальше, тем больше люди будут расслабляться, это абсолютно точно. Например, в нашей компании вполне реально работать хоть из дома, хоть ночью, хоть 4 дня, хоть на полставки. Во всех случаях зп будет выше средней по городу минимум, а у многий - намного выше средней. Такая система действует уже 8 лет. И за это время была куча примеров того, что если у человека нет внутренней мотивации к работе, то любое послабление будет приводить к уменьшению производительности и росту ожиданий, что дальше будет еще легче больше денег. Причем на людей с собственной мотивацией не влияет почти ничто, кроме крайнего падения зп (но такого у нас не было).
",0
"Вот у тебя хорошая зп, отсюда и надо плясать. Если ты её зарабатываешь своим умом и трудом, а не просто присваиваешь, то хвала тебе и честь.А теперь поинтересуйся, как много тех, у кого зп просто неприлично мала. Это большая часть населения страны. Вполне себе работающая, занятая часть, не тунеядцы, но бедные, читай - нищие, работающие. Я на своё положение пока тоже не жалуюсь, но вижу, что происходит и куда идёт. Не волнуйся, если у тебя пока что всё хорошо, то это не обязательно надолго. Только если ты не сосёшь деньги напрямую из бюджета. А непонимание общей обстановки это и есть слабоумие. Но ничего, бытие определяет сознание. Изменится твоё маленькое бытие и ты очень быстро осознаешь свою солидарность с миллионами тунеядцев и поливателей своей страны дерьмом .
",1
"Сталин уважал хохлов.
",1
"Только автор неправильно называет некоторые сооружения. Не аэротэнтки, а аэротенк. На 4 курсе была дисциплина по охране окружающей среды.
",0
"Брус проседает и крутит и лопается и в нём холодно. Кирпич - холодно и дорого
",0
"Бойлеры на этажах решают и пара газовых котлов в подвале. Так и не забываем, что горячее водоснабжение - ЦЕНТРАЛЬНОЕ.
",0
"Помню игру, но разве под дос? Помню ее устанавливал маминым подругам на комп их детям, но это времена 98 где-то. И ставил такое с СД 1000 1 игра и т.п. И вообще русскую версию помню, от 1с или фаргуса. Может есть новее версии и я подзабыл, новее это всеравно до 2000 )
",0
"Так Абу для того и держит алкочатик с несколькими больными ублюдками. Они там все сдиванонеы давно и у них с мочером уговор - они иногда вылазят что-то невнятно пукать про хохлов, а взамен они могут автаркофажить и вниманиеблядствовать в своем загоне. Абу же может смело рапортовать майору о наличии подпивасных патриотов на доске. Сосач патриотический, ну не надо бутылку, ну товарщи майор.
",1
"Ну я бы не сказал что ее пиарили больше чем того же Савинова. И не хомячки -жители активно голосовали за не.
",1
"ты ему про аномалии, а он тебе ПРО ХАБАР Ей, а она тебе про хабар. Тут в тред очевидно залетела фемка или куколд-кун, у которого только половые признаки мужские. И в лучших традициях рунет-войн феминизма, они даже в интернете не могут в борьбу, только в своих закрытых фем-помойках. Я ей про то что не хуй говно вбрасывать про ВЫРАВНИВАНИЕ ЗП , и пытаться выставить их блядо-цирк адекватным движем, а она видетели до конца мою пасту не прочла, весь тред прочла а пасту не прочла, там не больше 20 сек. читать и улавливать суть этого т.н. феминизма , а оно Дальше не читал. Попробуй еще раз Аргументный аргумент хуле
",1
"Можно сделать бэкдор для входа от имени системы. Загрузиться с LiveCD, найти в папке System32 файл accwiz.exe, переименовать в accwiz1.exe, сделать копию файла cmd.exe и назвать ее accwiz.exe. Потом загрузиться до экрана с выбором пользователя и нажать пять раз клавишу Shift. Вместо Мастера специальных возможностей загрузится cmd.exe (командная строка) с правами уровня Система . В командной строке набрать control userpasswords2 и добавить в систему пользователей.
",0
"В то время как пилоты обречённых самолётов Boeing в Эфиопии и Индонезии пытались вернуть себе управление, у них не было двух важных функций безопасности, которые Boeing продавал за дополнительную плату, пишет NY Times. Как и другие авиапроизводители, Boeing получает прибыль благодаря апгрейду самолётов под индивидуальные нужды заказчика. Иногда эти опциональные функции включают продвинутое оформление и комфорт: премиальные места, причудливое освещение или дополнительные туалеты. Но за дополнительную плату продаются также системы связи, навигации и безопасности. Многие авиакомпании, особенно бюджетные перевозчики, такие как индонезийская Lion Air, не покупают эти функции, а регуляторы не требуют обязательного их наличия. Теперь же, после двух катастроф, Boeing сделает стандартной одну из этих функций безопасности в рамках обновления программного обеспечения самолёта. До сих пор неизвестно, что стало причиной крушений рейса 302 авиакомпании Ethiopian Airlines 10 марта и рейса 610 авиакомпании Lion Air пять месяцев назад. Эксперты предполагают, что частичная вина лежит на новом программном обеспечении, которое добавили в Boeing 737 Max. Неверные данные с сенсоров, возможно, вызвали неисправность системы Maneuvering Characteristics Augmentation System (MCAS). В октябре 2018-го лайнер Lion Air разбился у западного побережья острова Ява, погибли 189 человек. После анализа данных чёрного ящика эксперты были очень удивлены странным поведением системы MCAS. Судя по всему, с датчиков поступали неправильные данные об угле атаки и самолёт автоматически опустил нос и направился прямо в воду. Пилоты более десяти раз пытались вручную поднять нос, но система всё равно опускала его вниз. В итоге лайнер ударился об воду и разбился. 10 марта другое воздушное судно потерпело крушение в Эфиопии, жертвами стали 149 пассажиров и восемь членов экипажа. 13 марта 2019 года после консультаций с Федеральной авиационной администрацией США и своими клиентами, компания Boeing выпустила официальную рекомендацию всем авиакомпаниями временно приостановить полёты самолёта Boeing 737 Max. В ближайшие несколько недель компания обещает обновить программное обеспечение системы управления полётом. ...
",0
"притащил фотожоп с яплакаль Три четверти украинцев живут за чертой бедности по данным Госстата, по уровню среднедушевых доходов население страны распределяется следующим образом: до 1920,0 грн - 6,9 1920,1 2280,03 грн - 7,7 2280,1 2640,0 грн - 11,0 2640,1 3000,0 грн - 11,0 3000,1 3360,0 грн - 10,7 3360,1 3720,0 грн - 10,8 3720,1 4080,03 грн - 9,3 4080,1 4440,0 грн - 6,3 4440,1 4800,0 грн - 6,4 4800,1 5160,0 грн - 5,1 более 5160,0 грн - 14,8
",0
"Почему же? Я что, рыжий что ли) От чего... Почему я не могу защищаться от нападок педофилов? Ты что, педофил? Или мальчик, который любит большую колбаску в заднем проходе? А? Дружок) кто ты и с какого хуя ты мне говоришь что делать. Сначала разговариватт научись, школота.
",1
"Причём там адрес верифицирован, я так и не понял каким образом это было отправлено, но я не смотрел исходник письма
",0
"Мне еще не отсосал, скот губастенький!
",1
"Нет , ты просто жидко обосрался и с криками ВР ТТТИИИ начал жрать свое дерьмо под звонкий смех олдов
",1
"Если завтра не вернут мне придется по полной их: ФНС, Роскомнадзор и прокуратура за пункт в котором они не несут ответственности
",0
"Обожаю стиль пин ап. Вот только я не одна такая и хорошие платья (из качественной ткани и сшитые не криворукими китайцами) стоят столько же, сколько джинсы, толстовка и кеды вместе.
",0
"Сокращение рабочего времени развитие. Три года на работе звёзд с неба не хватал, затем три года поработал 4х дневку, энергии и идей стало через край, стал нач. отдела. Новую компетенцию освоили, в отдел доп.премии пошли, молодежь оживилась, как категории и доплаты стали получать. Ветераны только жалуются, что работы стало много. Их бы на 4х дневку перевести, но полномочий пока не хватат
",0
"Ну вообще там такая ситуация: чтобы поменять батарею надо заплатить за слив стояка. Батареи с водой даже летом (чтобы пакля не ссыхалась). А слив стояка без ведома сантехника не сделать. Алгоритм такой: идёте в инженерное бюро, там вам выписывают бумагу сколько и каких батарей можно поставить в ваше помещение (на основании характеристик городской системы отопления). Ставят подпись и просят оплатить расчёт. Далее слив воды должен делать сантехник попросив эту бумагу. После того как поменяли приходит опять он же и подписывает что установленное соответствует расчёту, выданному в инженерном бюро . После чего подаёт воду обратно в стояки. Если удалось поменять просто так - привет сантехникам, забившим на свои обязанности.
",0
"Ласковские на месте? EZ
",1
"8 кВА - 50 тыщ. Не так уж и дорого. Теплый пол, электрокотлы всякие и прочую дребедень сильножрущую можно и через реле напряжения пустить. А лампочки с компами и телевизорами через штиль. Ну а если дача - сарай в проходном СНТ с жульем и на отшибе - реле напряжения за косарь достаточно будет.
",0
"Ну, пить-то можно, но жажду утолять не будет, зато кальций из организма вымывается на раз-два, если другой воды кроме очищенной осмосом не пить. Если интересно - купите в любом автомагазине или хозтоварах бутылку дистиллированной воды и попробуйте.
",0
"На хуй себе прищепку прицепи,дебила кусок..
",1
"а теперь вспомни какие ощущения вызывает случайное соприкосновение ложки с зубами.
",0
"Пиздец попаболь наблюдаю я. Дякую из Киева, Онотоле.
",1
"Ох, на Ютубе ролик есть про эти деньги, не помню названия
",0
"Просто переустанавливаю винду 2 раза в год)
",0
"Ещё как берут, и вообще почему их не должны брать?
",0
"Потому что нелегалы же. Чуть банальный аппендицит прихватит и все, сразу все вскроется. Да и несчастные случаи на производстве не редкость, сам понимаешь, так хоть какие-то шансы на лечение и компенсации, а так просто вывезут за ворота и скажут - мимикрокодил, сам упал. да и опять же - получать можно и 100. Вопрос сколько с этого реально себе оставляешь в кармане, а сколько уходит на жилье, питание, взятки и на сколько тебя в итоге поимеет работодатель.
",0
"Те кто не привиты, выступают в роли инкубаторов для вирусов, позволяя им мутировать и заражать привитых. Так что пофигу тебе до поры до времени.
",0
"Но эти фразы сказал один из сотрудников наса. Марсоход отравил инфу что вокруг слабое освещение и садятся батареи.
",0
"Точно, вот падла такая
",1
"Действительно век гаджетов, сейчас всё на бтарейках. Нафиг муж.
",0
"Да что там в этой Австралии делать? Жара, всякие твари ползают, лучше в Перми осесть, это куда лучше какой-то Австралии
",1
"Нет, но в ближайшие годы планируем, до 30 точно будут. Хотя тут зарекаться не стоит.
",0
"Политачеры, вы что ебанутые? Какого хуя я вижу тут изо дня в день треды о вымирании белой расы, замещение населения мигрантами, СЖВ, Фемки и прочие темы Западных людей которые вас желторожих потомков хазар и монголов вообще ебать не должно в принципе? Вы же все метисы-монголоиды, настоящие белые это Нордиды, коих в Восточной Европе едва ли наберется 10 от всего населения. Белый человек это классический Германец или Скандинав, то есть белый Долихоцефал. Узкое, длинное лицо, с массивной челюстью, без выступающих монголоидных скул, выпирающий затылок. Где вы видели таких Восточных Европейцев? Круглоголовые вы маньки. Заканчивайте уже, не позорьтесь каргокультисты. В Германии полно круглоголовых Альпинидов!! Да, и населяют они а основном центр и юг Германии, и к белой Нордической расе официально не относились, так как немецкие антропологи причисляли их к мишлингам с Вендами (Западными Славянами) которые и есть виновники в округлении их голов. Гитлер даже называл их Рейнскими Ублюками то есть немцев по другую, Южную сторону реки Рейн . Ряяя Негры тоже Долихоцефалы!!! Да, некоторые племена действительно имеют низкие значения цефального индекса, но сравнивать негров и белых Долихоцефалов как минимум некорректно, ибо черепа негров больше похожи по своему строению черепа обезьян. Итальянцы, Латиносы, Турки и прочие Армяне также длинноголовые. Ну во первых далеко не все из них Долихоцефалы, большая часть как раз таки имеет типичный Арменоидный фенотип, а другая, которая Долихоцефалы - Средиземноморская раса которая не смотря на большое сходство с Нордической ей все же не является потому как они чернявые чурки, а ариец это в первую очередь белый господин.
",1
"Молодец, коллега, продолжай, пиши ещё))",0
"Одного я потом в ментовском патруле на югах встретил. Начал он мне штраф писать, а я ему так тихо-тихо... В общем без штрафа обошлось.
",1
"А где тут указание того, что это сварщик, а не председатель горисполкома?
",0
"Блин, я так под прошлый конец света набрал кредитов, думал отдавать не надо будет, а эти рептилойды меня так подвели",0
"Полная зуйня, за отсутствие во время проверки работ. Весь дом тупо отключают от газа, пока все квартиры не будут проверены
",0
"обладатель искусственного сердца носит с собой два аккумулятора, основной и резервный. Заряда каждого хватает на 12 часов 12 часов ставте лойс кому стало одновременно страшно, плохо, и злобно. это пиздец а не 21 век. телефоны у нас разбиваются от любого падения, заряды батарей делать так и не научились, а на водородных машинах есдят только борцы за природу. другие в три дорога платят за бензин. теперь вот кто-то бухнёт и забудет сердечко зарядить - и уже не проснётся. или же на улицу не выйдет пока сердце будет два часа заряжатся. заболеет, спать ляжет, забудет из за жара зарядить, и пизда. это какой-то заговор. пальчиковые батарейки в плеерах стареньких НА МОТОРЧИКАХ и то дольше работали. а моторчикам питание пиздец сколько нужно. фанарики на проволочной лампочке дольше работали. а этой нити накала нужно энергии жрать как утюху. аноны, это реально заговор!
",0
"На том, где сейчас именно работаю или самый большой интервал между сменами мест работы? Сейча. - меньше года, самый большой - трешка.
",0
"я не помню, в 2009 было, стены - кирпичь, газобетон, пол наливной. просто пришел в магазин и купил- помню что наносилось в 2 этапа
",0
"Вот здесь указаны другие актеры.
",0
"как же забавно читать ваши высеры по интернетам,дырки фбкашные. У вас, сука, даже ошибки в словах одинаковые встречаются, не то что формулировки
",1
"-Бабусь почём брусника? -300 за баночку!
",1
"ебать, , будто киселя сейчас прочитал, а это была всего лишь очередная пидораха
",1
"Ну, не первого попавшегося, а первого в списке по этому запросу. Разница ощутима. И не важно насколько популярен сайт - обслуживание должно быть нормальным, а не вот это вот всё разводилово. Больше всего гнетёт то, что это остаётся безнаказанным. А картинка забавная, хоть и не к месту
",0
"Ну тут да, даже носки не смог подобрать к обуви и джинсам. Просто дегрод.
",0
"Все ваши данные в ОФД, все чеки со списком покупок. Кассовый аппарат может спокойно распечатать чек повторно в течении 30 дней. Все эти чеки печатает термопринтер, любой, суть как раз в данных отправленных в налоговую.
",0
"По этой ссылке - статья 80 ТК РФ Увольнение работника по собственному желанию. Все, что есть по трудовой книжке - только то, что она должна быть выдана в последний рабочий день
",0
"Недеццкой ?!! Шта? Я надеюсь это прикол)
",1
"В SpaceX треде необучаемый дегенерат пиарит парашу, кидает ссылку на свой твиттер, пруф: Добавьте в спамфильтр строку HexenHammer 2 , чтобы запостившего банило на год и удаляло все его посты, иначе этот петух не прекратит срать.
",1
"Видимо действительно дебил, в 8 лет физиология ещё не работает, чтобы трахать кого-то. Разве что фаллоимитатором, но кто его продаст восьмилетнему?
",1
"А чего она вот на те детские площадки не пожаловалась? Дети тоже шумные.
",0
"А в банке не обменяют?)
",0
"Пыщ пыщ онотоле! Попячса! Жърчик!
",1
"Жила на Украине, недолго, там принято бить детей, даже советуют друг другу ты по лицу бей, так обиднее и быстрее уроки сделает Нет, может где в России и похуже бьют, но живу в Саратовской области - с детьми носятся как с той торбой и за 15 лет ни одного случая насилия на улице я не наблюдала - ни драк, ни даже громких скандалов. А уж тем более избиения младенцев
",1
"Он штатный провокатор от гебни. Бывших не бывает.
",1
"В московском регионе пользовался Йотой и не мог нарадоваться(как я слышал мощности одни и те же что и у Мегафона), а вот от обладателей Билайна очень часто слышал негативные отзывы, за редким исключением(есть места где Билайн реально лучше всех ловит, но таких мест мало на общем фоне).
",0
тогда на открытке не герой ее романа,0
"Для тебя котик - имущество?
",0
"30 гигов и 700 минут, 360 рублей Свердловская область.
",0
"Да ты заебал! Уж что-что, а заслуги Жирди в 2к18 довольно смешно игнорировать. Нынешний национализм во многом его заслуга (ну не конкретно его, а скорее Спутника в целом, всей основной команды), и многие кажущиеся сейчас естественными и банальными вещи раньше не существовали. До СиПа национализм- это либо ебанашки, нелепо косплеющие язычество, либо боны-людоеды. А, ну ещё можно Широпаева вспомнить с давайте расхуярим Рашку на 10 маленьких рашек и тогда заживем . Многих смешит (скорее триггерит лол) словосочетание интеллектуальный национализм , но если сейчас это форс действительно имеет право на жизнь, то до Спутника можно было только упасть в обморок от хохота. Ну да, ты прав, наверно. Могу подписаться- Егорка на самом деле срется очень по-бабски, а Галковский немного поехал кукухой от личной неустроенности и десятилетий жизни одиночки с претензиями. Ну суть-то все равно одна- обоим кажется, что они от кого-то защищаются, а в итоге устраивают беспощадный френдлифаер.
",1
"Мы - твои подписчики тебя поддерживаем.
",1
"Может там компьютер включали только когда работали на нём, а не 24 часа в сутки.
",0
"Летел из Китая в субботу. Всем пофиг. Причем спросили, а у вас есть батареи в багаже. Я говорю есть - 4 Айфона (кого я обманываю, я нищеброд. 4 китайфона.) Батареи не съёмные. Сказали Окай, что делать то. И повербанк на 20к с собой.",0
"Мать Серова была еврейкой по фамилии Бергман и у отца в крови были евреи, его дед был каким-то еврейским путешественником или исследователем, не помню.
",1
"Коллега вроде себе тоже завела как раз для этих целей. Уже год держит, чот не вижу результатов
",0
"Там должно быть определенное расстояние до воды ближе которого строить запрещено.
",0
"Моя мама (царство ей небесное) как то рассказывала про свою знакомую с работы. Они с мужем были на даче. 2006 год примерно. Муж пошёл за молоком. Пройти до магазинчика всего 100 метров, тропинка узенькая колея между заборами дач. Лето, жара, народу полно поскольку сезон. Вышел и так и не дошёл до магазинчика. И ни кто его не видел. Это всё равно что на глазах у толпы людей посреди поля исчезнуть. До сих пор не нашли.
",0
